,Average Eff PSF,Average Eff. Rental,Average Face PSF,Average Face Rental,Average Govt Rates PSF/ Mth,Average Govt Rent PSF/ Mth,Average Govt. Rates/ Mth,Average Govt. Rent/ Mth,Average MFA,Average Net PSF,Average Net Rental,Count,Label,Trade Name,Unit
46,41.10166667,121619.8317,40.27166667,119163.8617,1.52,0.9116666667,4502.055,2701.233333,2959,41.82333333,123755.2433,1,0,SUN LUN KEXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 07
47,41.10166667,121619.8317,40.27166667,119163.8617,1.52,0.9116666667,4502.055,2701.233333,2959,41.82333333,123755.2433,2,1,Yue Mic KaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 07
48,39.975,112369.725,38.755,108940.305,3.025,1.8175,8506.1725,5103.7025,2811,40.4725,113768.1975,1,0,Yue Mic KaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G 57-58
49,41.10166667,121619.8317,40.27166667,119163.8617,1.52,0.9116666667,4502.055,2701.233333,2959,41.82333333,123755.2433,1,0,Genki SushXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 07
50,45.99333333,146120.82,45.11333333,143325.06,2.44,0.4866666667,7750.533333,1550.103333,3177,46.61666667,148101.15,3,1,Genki SushXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 69A
51,28.606,169290.308,26.36,155998.48,1.09,0.348,6469.136,2050.37,5918,28.686,169763.748,1,0,Watson'sXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 08
52,28.606,169290.308,26.36,155998.48,1.09,0.348,6469.136,2050.37,5918,28.686,169763.748,2,1,WATSONSXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 08
53,28.606,169290.308,26.36,155998.48,1.09,0.348,6469.136,2050.37,5918,28.686,169763.748,2,1,WatsonsXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 08
54,54.095,134155.6,52.6275,130516.2,2.13,1.28,5283.9525,3170.3675,2480,54.6925,135637.4,1,0,U-RightXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 09-10
55,54.095,134155.6,52.6275,130516.2,2.13,1.28,5283.9525,3170.3675,2480,54.6925,135637.4,3,1,China ConsXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 09-10
56,68.18375,58160.73875,67.4725,57554.0425,2.89125,1.1125,2464.5075,949.6925,853,68.35125,58303.61625,3,1,LenscrafteXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 11
57,75.15142857,70567.19143,74.90857143,70339.14857,2.777142857,1.301428571,2606.701429,1220.457143,939,76.18571429,71538.38571,2,1,LenscrafteXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G 16
58,68.18375,58160.73875,67.4725,57554.0425,2.89125,1.1125,2464.5075,949.6925,853,68.35125,58303.61625,2,1,LENSCRAFTEXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 11
59,75.15142857,70567.19143,74.90857143,70339.14857,2.777142857,1.301428571,2606.701429,1220.457143,939,76.18571429,71538.38571,1,0,LENSCRAFTEXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G 16
60,68.18375,58160.73875,67.4725,57554.0425,2.89125,1.1125,2464.5075,949.6925,853,68.35125,58303.61625,2,1,LensCrafteXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 11
61,40.166,40423.888,38.586,38547.528,4.478,2.654,4159.754,2470.724,862,41.45,41726.28,1,0,LensCrafteXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 31
